pantun_id,line1,line2,line3,line4,region,theme,is_complete,full_text
4026,"Rusa ini rusa berdua,",Terbit makan rumput manisan;,"Tiada jodoh kita berdua,",Boleh anak kita berbesan.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Rusa ini rusa berdua, Terbit makan rumput manisan;; Tiada jodoh kita berdua, Boleh anak kita berbesan."
4027,"Sakit kaki tikam selumbar,",Selumbar ada di kaki Wan;,"Sakit hati rasa nak khabar,",Kalau khabar malulah kawan.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Sakit kaki tikam selumbar, Selumbar ada di kaki Wan;; Sakit hati rasa nak khabar, Kalau khabar malulah kawan."
4028,"Sakit hati ditikam tunga,",Tunga kecil di dalam huma;,"Sakit hati melihat tangga,",Tangga kecil berisi bunga.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Sakit hati ditikam tunga, Tunga kecil di dalam huma;; Sakit hati melihat tangga, Tangga kecil berisi bunga."
4029,"Sakit hati ditikam tunggul,",Tunggul kecil tengah huma;,"Sakit hati memandang sanggul,",Dok gemar pada sekuntum bunga.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Sakit hati ditikam tunggul, Tunggul kecil tengah huma;; Sakit hati memandang sanggul, Dok gemar pada sekuntum bunga."
4030,"Sakit hati ditikam duri,",Duri landak di perdu sirih;,"Sakit hati diri sendiri,",Barang kehendak nak ambil tak jadi.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Sakit hati ditikam duri, Duri landak di perdu sirih;; Sakit hati diri sendiri, Barang kehendak nak ambil tak jadi."
4031,"Sampan kotak mudik ke Pangkor,",Singgah pula Pulau Sembilan;,"Macam diletak macam diatur,",Macam cincin permata silan.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Sampan kotak mudik ke Pangkor, Singgah pula Pulau Sembilan;; Macam diletak macam diatur, Macam cincin permata silan."
4032,"Sangat ajaib buahnya padi,",Menjadi emas berbatang suasa;,"Sangatlah sakit rasanya hati,",Terkena panah penyakit cinta.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Sangat ajaib buahnya padi, Menjadi emas berbatang suasa;; Sangatlah sakit rasanya hati, Terkena panah penyakit cinta."
4033,"Sapu tangan jatuh ke laman,",Tiba di laman berisi bunga;,"Celaka tangan jembalang tangan,",Dalam tangan orang punya.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Sapu tangan jatuh ke laman, Tiba di laman berisi bunga;; Celaka tangan jembalang tangan, Dalam tangan orang punya."
4034,Satu dua tiga empat.,Lima enam tujuh setengah;,"Macam mana pandai tupai melompat,",Adakalanya jatuh ke tanah.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Satu dua tiga empat. Lima enam tujuh setengah;; Macam mana pandai tupai melompat, Adakalanya jatuh ke tanah."
4035,"Saya dahulu duduk di Luku,",Di kaki bukit keladi tumbang;,"Mana tempat abang nak malu,",Rupa baik perangai kurang.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Saya dahulu duduk di Luku, Di kaki bukit keladi tumbang;; Mana tempat abang nak malu, Rupa baik perangai kurang."
4036,"Sayang Cik Amat tukang Kelantan,",Kacip besi dengan besi;,"Kurasa kiamat di dalam badan,",Jantung berperang dengan hati.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Sayang Cik Amat tukang Kelantan, Kacip besi dengan besi;; Kurasa kiamat di dalam badan, Jantung berperang dengan hati."
4037,"Sayang ikan bergulai maman,",Mari gulai si daun caba;,"Jangan lama di tengah laman,",Sila tampil kita berjumpa.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Sayang ikan bergulai maman, Mari gulai si daun caba;; Jangan lama di tengah laman, Sila tampil kita berjumpa."
4038,"Sayang kecapi kecapang condong,",Sayang tempurung berisi paku;,"Kalau petang matahari condong,",Kalau burung nak terbang aku.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Sayang kecapi kecapang condong, Sayang tempurung berisi paku;; Kalau petang matahari condong, Kalau burung nak terbang aku."
4039,"Sayang keduduk balik rumah,",Akar menyorok tiang seri;,"Tuan duduk tuan punya rumah,",Kami nak pulang minta diri.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Sayang keduduk balik rumah, Akar menyorok tiang seri;; Tuan duduk tuan punya rumah, Kami nak pulang minta diri."
4040,"Sayang merpati di pohon jati,",Jalan menuju rumah Cik Akob;,"Kalau tak sampai hajat di hati,",Biar kubujang seumur hidup.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Sayang merpati di pohon jati, Jalan menuju rumah Cik Akob;; Kalau tak sampai hajat di hati, Biar kubujang seumur hidup."
4041,"Sayang tekukur digulai lemak,",Rempah-rempah dari Jawa;,"Biar lumpur jalan semak,",Rebah-rimpah kumari juga.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Sayang tekukur digulai lemak, Rempah-rempah dari Jawa;; Biar lumpur jalan semak, Rebah-rimpah kumari juga."
4042,"Sebab bulan terbit pagi,",Bunga pandan dalam cerana;,"Sebab intan datang ke mari,",Nampak berlain dalam bunga.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Sebab bulan terbit pagi, Bunga pandan dalam cerana;; Sebab intan datang ke mari, Nampak berlain dalam bunga."
4043,"Sedap sungguh jeruk maman,",Lepas setalam setalam pula;,"Sedap sungguh berbantal lengan,",Lepas semalam semalam pula.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Sedap sungguh jeruk maman, Lepas setalam setalam pula;; Sedap sungguh berbantal lengan, Lepas semalam semalam pula."
4044,"Sekapur sirih datang bertandang,",Di dalam puan tersusun rapi;,"Tangan dihulur mata memandang,",Sebagai cincin lekat di jari.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Sekapur sirih datang bertandang, Di dalam puan tersusun rapi;; Tangan dihulur mata memandang, Sebagai cincin lekat di jari."
4045,"Sepah bulan dihujung jari,",Buah belimbing pengelok kuku;,"Kalau jatuh bulan abang mari,",Jentik dinding bukalah pintu.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Sepah bulan dihujung jari, Buah belimbing pengelok kuku;; Kalau jatuh bulan abang mari, Jentik dinding bukalah pintu."
4046,"Serai serumpun tengah halaman,",Tempatlah murai berulang mandi;,"Tinggal kampung tinggal laman,",Tinggal laman tempatnya mandi.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Serai serumpun tengah halaman, Tempatlah murai berulang mandi;; Tinggal kampung tinggal laman, Tinggal laman tempatnya mandi."
4047,"Serampang laut nama lagunya,",Lawan menyanyi berganti-ganti;,"Kemaskan kemudi dengan sempurna,",Tak karam di harung sampai ke tepi.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Serampang laut nama lagunya, Lawan menyanyi berganti-ganti;; Kemaskan kemudi dengan sempurna, Tak karam di harung sampai ke tepi."
4048,"Seri Johor nama negeri,",Sultan Ismail raja yang mulia;,"Alangkah terangnya matahari,",Bulan juga membawa cahaya.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Seri Johor nama negeri, Sultan Ismail raja yang mulia;; Alangkah terangnya matahari, Bulan juga membawa cahaya."
4049,"Seri Panji gelaran paman,",Menjadi ratu raja di Kedah;,"Bulan tinggi jauh pandangan,",Hamba di bawah menumpah cerah.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Seri Panji gelaran paman, Menjadi ratu raja di Kedah;; Bulan tinggi jauh pandangan, Hamba di bawah menumpah cerah."
4050,"Sesudah malam bulan cerah,",Bintang jua tumpang berada;,"Jangan adik dok sambil susah,",Abang ada di depan mata.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Sesudah malam bulan cerah, Bintang jua tumpang berada;; Jangan adik dok sambil susah, Abang ada di depan mata."
4051,"Simpang Empat sampai ke Bintung,",Jalan melintas Utan Aji;,"Kalau dapat memanglah untung,",Kalau terlepas gigit jari.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Simpang Empat sampai ke Bintung, Jalan melintas Utan Aji;; Kalau dapat memanglah untung, Kalau terlepas gigit jari."
4052,"Sirih bertepuk pinang memusing,",Pacak buluh di atas kota;,"Tak boleh duduk hati runsing,",Tak boleh tubuh nak tengok mata.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Sirih bertepuk pinang memusing, Pacak buluh di atas kota;; Tak boleh duduk hati runsing, Tak boleh tubuh nak tengok mata."
4053,"Sirih biak di tunggul buluh,",Sirih menjadi sayap rerama;,"Kasih dibuat tidak bersungguh,",Kasih di hati selama-lama.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Sirih biak di tunggul buluh, Sirih menjadi sayap rerama;; Kasih dibuat tidak bersungguh, Kasih di hati selama-lama."
4054,"Sirih kuning di Bongor Lambok,",Tahu dipanggil apek serona;,"Putih kuning sarananya tajuk,",Nak panggil tak tahu nama.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Sirih kuning di Bongor Lambok, Tahu dipanggil apek serona;; Putih kuning sarananya tajuk, Nak panggil tak tahu nama."
4055,"Sirih kuning darinya barat,",Tilam kapas jatuh keramat;,"Kepala pening badan pun berat,",Kalam berlepas sudah pun tamat.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Sirih kuning darinya barat, Tilam kapas jatuh keramat;; Kepala pening badan pun berat, Kalam berlepas sudah pun tamat."
4056,"Siti Wan Kembang perintah Kelantan,",Nama termasyhur zaman dahulu;,"Baik-baik memilih intan,",Takut terkena kaca dan batu.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Siti Wan Kembang perintah Kelantan, Nama termasyhur zaman dahulu;; Baik-baik memilih intan, Takut terkena kaca dan batu."
4057,"Sudah ada keretapi,",Pergi ke Kabar membeli benang;,"Sudah dapat pembuka hati,",Perut yang lapar menjadi kenyang.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Sudah ada keretapi, Pergi ke Kabar membeli benang;; Sudah dapat pembuka hati, Perut yang lapar menjadi kenyang."
4058,Tahan punai kena merbuk,Merbuk bersarang di kayu jati,Dah tahu benda tu mabuk,Sahaja nak dok cari mati,Perak Kedah dan Perlis,Nasihat & Moral,True,Tahan punai kena merbuk Merbuk bersarang di kayu jati; Dah tahu benda tu mabuk Sahaja nak dok cari mati
4059,Tali apa nampak kelihatan,Tali layang putus teraju,Di kiri api di kanan lautan,Jalan yang mana hendak dituju,Perak Kedah dan Perlis,Nasihat & Moral,True,Tali apa nampak kelihatan Tali layang putus teraju; Di kiri api di kanan lautan Jalan yang mana hendak dituju
4060,Tali gerap tali pendengung,Rendang lada simbul pulih,Jangan diharap bunga kembang,Bila tahun hendak boleh,Perak Kedah dan Perlis,Nasihat & Moral,True,Tali gerap tali pendengung Rendang lada simbul pulih; Jangan diharap bunga kembang Bila tahun hendak boleh
4061,Tampak kulihat tanah seberang,Dikala perang menjelang senja,Biarlah daku di rantau orang,Semoga dapat melupa saja,Perak Kedah dan Perlis,Nasihat & Moral,True,Tampak kulihat tanah seberang Dikala perang menjelang senja; Biarlah daku di rantau orang Semoga dapat melupa saja
4062,Tanah Lambor tanahnya lembah,Tanam keduduk bercabang dua,Memang tanah Lambor ini bertuah,Siapa nak duduk mesti berdua,Perak Kedah dan Perlis,Nasihat & Moral,True,Tanah Lambor tanahnya lembah Tanam keduduk bercabang dua; Memang tanah Lambor ini bertuah Siapa nak duduk mesti berdua
4063,Tanah seleboh tanahnya lembah,Pucuk keduduk bercabang dua,Sungguh lembah tempatnya singgah,Menumpang duduk setahun dua,Perak Kedah dan Perlis,Nasihat & Moral,True,Tanah seleboh tanahnya lembah Pucuk keduduk bercabang dua; Sungguh lembah tempatnya singgah Menumpang duduk setahun dua
4064,Tanam keduduk di tepi rimba,Pukul pahat dalam padi,Sungguhnya duduk bertindih riba,Jalan jahat jangan sekali,Perak Kedah dan Perlis,Nasihat & Moral,True,Tanam keduduk di tepi rimba Pukul pahat dalam padi; Sungguhnya duduk bertindih riba Jalan jahat jangan sekali
4065,Tanjung Rami banyak rumput,Tiga dengan Teluk Berembang,Belilah tali saya nak turut,Saya nak dengar cakap cik abang,Perak Kedah dan Perlis,Nasihat & Moral,True,Tanjung Rami banyak rumput Tiga dengan Teluk Berembang; Belilah tali saya nak turut Saya nak dengar cakap cik abang
